idx,code,parent_code,type,chapter,section,depth,branching_factor,subtree_size,is_leaf,description
11937,I69.91,I69.9,diagnosis,9,SEC_I60-I69,5,8,8,0,Cognitive deficits following unspecified cerebrovascular disease
11938,I69.910,I69.91,diagnosis,9,SEC_I60-I69,6,0,0,1,Attention and concentration deficit following unspecified cerebrovascular disease
11939,I69.911,I69.91,diagnosis,9,SEC_I60-I69,6,0,0,1,Memory deficit following unspecified cerebrovascular disease
11940,I69.912,I69.91,diagnosis,9,SEC_I60-I69,6,0,0,1,Visuospatial deficit and spatial neglect following unspecified cerebrovascular disease
11941,I69.913,I69.91,diagnosis,9,SEC_I60-I69,6,0,0,1,Psychomotor deficit following unspecified cerebrovascular disease
11942,I69.914,I69.91,diagnosis,9,SEC_I60-I69,6,0,0,1,Frontal lobe and executive function deficit following unspecified cerebrovascular disease
11943,I69.915,I69.91,diagnosis,9,SEC_I60-I69,6,0,0,1,Cognitive social or emotional deficit following unspecified cerebrovascular disease
11944,I69.918,I69.91,diagnosis,9,SEC_I60-I69,6,0,0,1,Other symptoms and signs involving cognitive functions following unspecified cerebrovascular disease
11945,I69.919,I69.91,diagnosis,9,SEC_I60-I69,6,0,0,1,Unspecified symptoms and signs involving cognitive functions following unspecified cerebrovascular disease
11946,I69.92,I69.9,diagnosis,9,SEC_I60-I69,5,5,5,0,Speech and language deficits following unspecified cerebrovascular disease
11947,I69.920,I69.92,diagnosis,9,SEC_I60-I69,6,0,0,1,Aphasia following unspecified cerebrovascular disease
11948,I69.921,I69.92,diagnosis,9,SEC_I60-I69,6,0,0,1,Dysphasia following unspecified cerebrovascular disease
11949,I69.922,I69.92,diagnosis,9,SEC_I60-I69,6,0,0,1,Dysarthria following unspecified cerebrovascular disease
11950,I69.923,I69.92,diagnosis,9,SEC_I60-I69,6,0,0,1,Fluency disorder following unspecified cerebrovascular disease
11951,I69.928,I69.92,diagnosis,9,SEC_I60-I69,6,0,0,1,Other speech and language deficits following unspecified cerebrovascular disease
11952,I69.93,I69.9,diagnosis,9,SEC_I60-I69,5,5,5,0,Monoplegia of upper limb following unspecified cerebrovascular disease
11953,I69.931,I69.93,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
11954,I69.932,I69.93,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side
11955,I69.933,I69.93,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side
11956,I69.934,I69.93,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side
11957,I69.939,I69.93,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side
11958,I69.94,I69.9,diagnosis,9,SEC_I60-I69,5,5,5,0,Monoplegia of lower limb following unspecified cerebrovascular disease
11959,I69.941,I69.94,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side
11960,I69.942,I69.94,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side
11961,I69.943,I69.94,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side
11962,I69.944,I69.94,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side
11963,I69.949,I69.94,diagnosis,9,SEC_I60-I69,6,0,0,1,Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side
11964,I69.95,I69.9,diagnosis,9,SEC_I60-I69,5,5,5,0,Hemiplegia and hemiparesis following unspecified cerebrovascular disease
11965,I69.951,I69.95,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
11966,I69.952,I69.95,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
11967,I69.953,I69.95,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
11968,I69.954,I69.95,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
11969,I69.959,I69.95,diagnosis,9,SEC_I60-I69,6,0,0,1,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
11970,I69.96,I69.9,diagnosis,9,SEC_I60-I69,5,6,6,0,Other paralytic syndrome following unspecified cerebrovascular disease
11971,I69.961,I69.96,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side
11972,I69.962,I69.96,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side
11973,I69.963,I69.96,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side
11974,I69.964,I69.96,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side
11975,I69.965,I69.96,diagnosis,9,SEC_I60-I69,6,0,0,1,"Other paralytic syndrome following unspecified cerebrovascular disease, bilateral"
11976,I69.969,I69.96,diagnosis,9,SEC_I60-I69,6,0,0,1,Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side
11977,I69.99,I69.9,diagnosis,9,SEC_I60-I69,5,5,5,0,Other sequelae of unspecified cerebrovascular disease
11978,I69.990,I69.99,diagnosis,9,SEC_I60-I69,6,0,0,1,Apraxia following unspecified cerebrovascular disease
11979,I69.991,I69.99,diagnosis,9,SEC_I60-I69,6,0,0,1,Dysphagia following unspecified cerebrovascular disease
11980,I69.992,I69.99,diagnosis,9,SEC_I60-I69,6,0,0,1,Facial weakness following unspecified cerebrovascular disease
11981,I69.993,I69.99,diagnosis,9,SEC_I60-I69,6,0,0,1,Ataxia following unspecified cerebrovascular disease
11982,I69.998,I69.99,diagnosis,9,SEC_I60-I69,6,0,0,1,Other sequelae following unspecified cerebrovascular disease
11983,SEC_I70-I79,CH9,section,9,SEC_I70-I79,2,10,421,0,"Diseases of arteries, arterioles and capillaries (I70-I79)"
